,ZHVI,Metro,City,zip,State,zhvi_score
2942,639654.0,Denver-Aurora-Lakewood,Thornton,80602,CO,6
2943,587936.0,Seattle-Tacoma-Bellevue,Burien,98168,WA,7
2944,416028.0,St. Louis,Saint Louis,63108,MO,8
2945,160019.0,Jacksonville,Jacksonville,32208,FL,10
2946,755485.0,Los Angeles-Long Beach-Anaheim,Long Beach,90806,CA,5
2947,436172.0,Seattle-Tacoma-Bellevue,Parkland,98444,WA,8
2948,378482.0,Bridgeport-Stamford-Norwalk,Stratford,6614,CT,9
2949,193336.0,Pittsburgh,Brentwood,15227,PA,10
2950,627014.0,Stockton-Lodi,Manteca,95337,CA,6
2951,1048007.0,Oxnard-Thousand Oaks-Ventura,Ventura,93001,CA,2
2952,279427.0,Indianapolis-Carmel-Anderson,Greenwood,46142,IN,10
2953,246932.0,Buffalo-Cheektowaga-Niagara Falls,Town Of Amherst,14226,NY,10
2954,402850.0,Providence-Warwick,Fall River,2720,MA,8
2955,1066585.0,Santa Rosa,Petaluma,94952,CA,2
2956,284613.0,Springfield,Chicopee,1020,MA,10
2957,545192.0,Sacramento--Roseville--Arden-Arcade,Orangevale,95662,CA,7
2958,549997.0,Austin-Round Rock,Georgetown,78633,TX,7
2959,173944.0,Philadelphia-Camden-Wilmington,Philadelphia,19141,PA,10
2960,313434.0,Chicago-Naperville-Elgin,Addison,60101,IL,10
2961,1314333.0,Denver-Aurora-Lakewood,Denver,80202,CO,1
2962,382518.0,Yuba City,Marysville,95901,CA,9
2963,323239.0,Tallahassee,Tallahassee,32312,FL,10
2964,228922.0,Pensacola-Ferry Pass-Brent,Milton,32570,FL,10
2965,306870.0,Norwich-New London,Groton,6340,CT,10
2966,410429.0,Myrtle Beach-Conway-North Myrtle Beach,North Myrtle Beach,29582,SC,8
2967,303956.0,New Orleans-Metairie,River Ridge,70123,LA,10
2968,611935.0,Sacramento--Roseville--Arden-Arcade,Roseville,95661,CA,6
2969,132316.0,Ada,Ada,74820,OK,10
2970,1133769.0,Austin-Round Rock,Austin,78731,TX,1
2971,407505.0,Manchester-Nashua,Nashua,3060,NH,8
2972,2541666.0,San Francisco-Oakland-Hayward,San Francisco,94133,CA,1
2973,181685.0,Marion,Marion,28752,NC,10
2974,362296.0,Houston-The Woodlands-Sugar Land,The Woodlands,77382,TX,9
2975,460999.0,Modesto,Turlock,95382,CA,8
2976,790322.0,Denver-Aurora-Lakewood,Greenwood Village,80111,CO,5
2977,739989.0,Los Angeles-Long Beach-Anaheim,West Covina,91790,CA,5
