,mean,max,min,std,1std_below,1std_above,zip,walk_score
0,8.25,9.833333333,6.666666667,2.239171473285996,6.010828526714004,10.489171473285996,00501,5
1,4.791666666875,7.333333333,2.666666667,1.708405921683153,3.083260745191847,6.500072588558153,00601,3
2,4.545454545454546,7.333333333,2.666666667,1.4319584667916043,3.1134960786629415,5.97741301224615,00602,3
3,4.453900709234043,7.333333333,1.0,1.640998770724016,2.812901938510027,6.094899479958059,00603,3
4,4.166666667,5.666666667,2.666666667,2.121320343559643,2.0453463234403575,6.287987010559643,00604,3
5,4.333333333333333,5.333333333,3.666666667,0.8819171033732265,3.4514162299601066,5.21525043670656,00605,3
6,3.4666666663999997,7.333333333,2.333333333,2.180723631154984,1.2859430352450159,5.647390297554983,00606,2
7,4.1874999999375,7.333333333,2.333333333,1.78872497524825,2.39877502468925,5.976224975185749,00610,3
8,2.3333333333333335,2.666666667,2.0,0.33333333349999983,1.9999999998333338,2.666666666833333,00611,2
9,4.2409638554457825,7.333333333,1.333333333,1.8207723821390172,2.4201914733067653,6.0617362375848,00612,3
10,6.5333333332,7.333333333,4.666666667,1.1925695877017453,5.340763745498254,7.725902920901746,00613,4
11,6.0,7.333333333,4.666666667,1.3333333329999997,4.666666667,7.333333333,00614,3
12,4.16666666675,6.666666667,2.333333333,1.934099465336469,2.2325672014135316,6.100766132086469,00616,3
13,4.028985507173913,7.333333333,2.333333333,1.456136591337945,2.5728489158359684,5.485122098511858,00617,3
14,3.4444444443333335,5.0,2.0,1.503083250953285,1.9413611933800485,4.9475276952866185,00622,2
15,3.6767676767575757,7.333333333,2.0,1.4964885947840039,2.1802790819735716,5.17325627154158,00623,2
16,4.928571428714286,7.333333333,2.666666667,1.7105932964853057,3.21797813222898,6.639164725199592,00624,3
17,4.0,6.0,2.666666667,1.095445114888616,2.9045548851113843,5.095445114888616,00627,2
18,2.1666666665000003,2.333333333,2.0,0.23570226015981383,1.9309644063401865,2.4023689266598143,00631,2
19,4.0980392157647065,7.333333333,1.666666667,1.67814673675629,2.419892479008417,5.776185952520996,00637,3
20,3.625,5.666666667,2.333333333,1.1877349393658823,2.4372650606341177,4.812734939365882,00638,2
21,4.561403508789474,7.333333333,2.0,1.8427456419341892,2.7186578668552848,6.404149150723663,00641,3
22,4.273504273435897,6.666666667,1.666666667,1.409806495913616,2.863697777522281,5.683310769349513,00646,3
23,4.611111111083333,7.333333333,2.333333333,2.049061540868403,2.56204957021493,6.660172651951736,00647,3
24,5.0,7.333333333,2.333333333,1.7473236953601783,3.252676304639822,6.747323695360178,00650,3
25,3.809523809714286,6.666666667,2.333333333,1.476446470520408,2.3330773391938777,5.285970280234694,00652,2
26,5.95833333325,7.333333333,2.333333333,1.82954153338289,4.12879179986711,7.787874866632889,00653,3
27,4.1,7.333333333,2.333333333,1.9248216206786797,2.17517837932132,6.024821620678679,00656,3
28,3.9444444444444446,7.0,1.666666667,1.468181036384819,2.4762634080596255,5.412625480829264,00659,2
29,4.240740740611112,7.333333333,2.0,1.8534742349267768,2.3872665056843347,6.094214975537889,00660,3
30,3.7927927927837843,7.333333333,2.0,1.3387652117352966,2.4540275810484875,5.131558004519081,00662,2
31,3.111111111,7.0,1.666666667,1.658312395152574,1.452798715847426,4.769423506152574,00664,2
32,3.395833333375,5.666666667,2.0,1.3565683830390236,2.0392649503359763,4.752401716414024,00667,2
33,4.222222222166667,5.333333333,2.666666667,1.148267616045693,3.0739546061209735,5.37048983821236,00669,3
34,2.7999999998000002,4.666666667,2.333333333,1.0434983897980443,1.756501610001956,3.843498389598045,00670,2
35,4.585034013571429,7.333333333,2.333333333,1.5731111722632363,3.011922841308192,6.158145185834665,00674,3
36,3.5384615386153846,7.333333333,2.666666667,1.2136451180742072,2.324816420541177,4.752106656689592,00676,2
37,3.5666666665999998,5.333333333,2.666666667,0.8895830621999758,2.677083604400024,4.456249728799976,00677,2
38,3.6153846154615383,5.0,2.333333333,0.8590062502641512,2.756378365197387,4.47439086572569,00678,2
39,5.098360655655737,7.333333333,2.0,1.8592553888761076,3.23910526677963,6.957616044531845,00680,3
40,7.111111111,7.333333333,6.666666667,0.38490017907485,6.7262109319251495,7.49601129007485,00681,4
41,4.753968253952381,7.333333333,1.0,1.8712770066061393,2.882691247346242,6.62524526055852,00682,3
42,3.870967741967742,7.333333333,1.666666667,1.546028171158215,2.3249395708095273,5.416995913125957,00683,2
43,4.0000000000625,6.666666667,2.333333333,1.7384539747590546,2.2615460253034456,5.738453974821555,00685,3
44,4.226190476178571,7.333333333,2.0,1.7755856192704658,2.4506048569081056,6.001776095449037,00687,3
45,1.8333333330000001,2.333333333,1.333333333,0.7071067811865476,1.1262265518134527,2.5404401141865476,00688,1
46,3.7777777778888892,6.666666667,2.333333333,1.3228756556372854,2.454902122251604,5.100653433526174,00690,2
47,3.970588235264706,7.333333333,2.333333333,1.2722567955892217,2.6983314396754845,5.242845030853928,00692,2
48,4.452380952357143,7.333333333,2.333333333,1.579449554244782,2.872931398112361,6.031830506601925,00693,3
49,5.33333333325,6.333333333,3.666666667,1.2765694766893083,4.056763856560691,6.6099028099393085,00694,3
50,4.38541666671875,7.333333333,2.333333333,1.7660870930257393,2.6193295736930104,6.1515037597444895,00698,3
51,2.9761904762142857,6.666666667,2.333333333,1.1357762941176444,1.8404141820966413,4.1119667703319305,00703,2
52,5.148148148111111,7.333333333,3.0,1.8036314533582545,3.3445166947528566,6.951779601469365,00704,3
53,4.083333333375,7.0,2.0,1.4981470035940323,2.585186329780968,5.581480336969032,00705,3
